Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Masculino,59.0,Nacional,Excelente,5,267,"""Gran sitio histórico""","""Fue construida a finales del siglo XVIII, en el Mexico virreinal. Su función era como almacén y tienda de comercio para los habitantes que acudían del campo a comprar o de las haciendas a vender sus productos.""",México,Español,Móvil,2018-06-19,positivo
Masculino,32.0,Nacional,Excelente,5,61,"""Excelente museo""","""Parada obligatoria en tu visita a la ciudad de Guanajuato, lugar lleno de historia y apto para todas las edades.""",México,Español,PC,2018-06-19,positivo
Masculino,18.0,Nacional,Muy bueno,4,50,"""Presenciar el lugar de la tragedia""","""En este lugar se dio una de las batallas mas lamentables de la guerra de independencia. Dentro de la alhondiga se encontraban familias españolas. Las las cuales murieron cruelmente a manos de los indios a cargo de Hidalgo. El pararse frente a este imponente monumento e imaginarse los ríos de sangre de hombres y niños que tuvieron una muerte cruel es en verdad desgarrador.No vayas solamente a tomarte la foto. Observa y recrea estos hechos en tu mente para que así te des cuenta de la importancia de este lugar y porque no debe de ser olvidado. Y claro también aquí se dio la famosa historia del Pipila.""",México,Español,PC,2018-06-05,positivo
Femenino,30.0,Internacional,Excelente,5,69,"""EL CORAZÓN DE LA HISTORIA DE MÉXICO""","""Maravilloso sitio, muy gráfico para aprender historia super didáctico, las salas muy bellas y organizadas, el personal muy amable. Imperdible.""",Perú,Español,PC,2018-06-03,positivo
Femenino,25.0,Nacional,Excelente,5,22,"""Viaje diver-cultural!!""","""El término alhóndiga proviene del árabe y significa “almacén o mercado de granos"". La Alhóndiga de Granaditas es un lugar muy representativo del inicio de la lucha de Independencia, pues en este sitio tuvo lugar primera batalla insurgente y con ello el origen de la Independencia. Fue en esta batalla donde ocurrió la hazaña de Juan José de los Reyes Martínez, ""El Pípila"", un barretero de la mina de Mellado, quien a petición de Hidalgo se colocó una losa en la espalda para esquivar los ataques y consiguió hacer estallar la puerta de la Alhóndiga.""",México,Español,PC,2018-05-29,positivo
Femenino,34.0,Internacional,Excelente,5,6,"""Fortaleza""","""Impresiona su construcción, sus murales, hay mucha información, un gran espacio para aprender, y un espacio para honrar a nuestros héroes.""",Argentina,Español,PC,2018-05-21,positivo
Masculino,42.0,Nacional,Excelente,5,8,"""Pura historia""","""Me encantó el lugar. Muy bien dividido sus salas aunque, para ser francos... Esperaban un poco mas acerca del héroe que va de la mano con éste lugar, o sea, El Pipila. Muy buen museo y muy interesante. Vayan. Vale la pena.""",México,Español,Móvil,2018-05-12,positivo
Masculino,55.0,Internacional,Muy bueno,4,306,"""Fascinating piece of history at the start of the struggle for indpendence""","""Este edificio no es particularmente famoso por su arquitectura de finales del siglo XVIII (aunque hay algunos murales gigantes fabulosos en la escalera central), pero es bastante importante por el papel fundamental que desempeñó en la primera batalla exitosa de los insurgentes que luchaban por la independencia de f el Reino de Nueva Granada. Los insurgentes ganaron batallas críticas que fueron seguidas por una masacre de casi todo el batallón español, pero la guerra sangrienta continuó durante 11 años hasta que finalmente terminó. Tienes una oportunidad única de aprender sobre la historia de México, partiendo de artefactos de la época prehispánica, se recomienda una visita guiada.""",Colombia,Inglés,PC,2018-05-08,positivo
Masculino,44.0,Internacional,Excelente,5,8,"""One of the most important buildings in Mexico to learn about""","""Gran lugar para aprender y ver murales y arte local. Antes de ir, asegúrese de conocer la importancia histórica de los edificios para que pueda aprovechar al máximo los murales"".",Canadá,Inglés,PC,2018-04-30,positivo
Femenino,31.0,Nacional,Excelente,5,32,"""Historias Inéditas""","""Mi visita en este increible lugar fue recorido por un guia local y dentro del museo por el personal que en esté labora, escuchar todo aquello que sucedio hace muchos años hace que al estar en ese lugar sientas como si estuvieras en esa batalla, al termino de este recorido me encanto que los niños pudieran experimentar la elaboración de manulidades de barro.""",México,Español,PC,2018-04-27,positivo
