Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Femenino,64.0,Internacional,Muy bueno,4,175,"""Punto central""","""Basílica muy bien conservada, punto central en la ciudad , muy linda por dentro vale la pena darse una vuelta para conocer , alto significado religioso y arquitectónico.""",Colombia,Español,Móvil,2018-05-13,positivo
Masculino,59.0,Internacional,Excelente,5,306,"""The most important church in this colonial town full of history""","""La Basílica (Guanajuato no tiene Catedral, está situada en la cercana ciudad de León) es verdaderamente imponente tanto de día como cuando está iluminada por la noche. También tiene unas preciosas esculturas policromadas y un gran órgano.""",Colombia,Inglés,PC,2018-05-08,positivo
Femenino,26.0,Internacional,Excelente,5,106,"""Y uno de los símbolos de Guanajuato""","""Edificio de la iglesia amarilla es un abigarrado y nahu crear una más bella de Atocha. He venido a cabo mejor en frente de la misma Guanajuato es menor cuando se toman fotografías que gabolman menos una.""",Corea del Sur,Coreano,PC,2018-05-05,positivo
Masculino,50.0,Internacional,Excelente,5,62,"""Beautiful and a must see""","""Un lugar de visita obligada en la ciudad y muy agradable para ir por dentro y hermoso por fuera para tomar fotos. ¡En el centro de la ciudad!""",Estados Unidos,Inglés,PC,2018-05-01,positivo
Femenino,55.0,Internacional,Regular,3,59,"""Nice""","""No es particularmente impresionante, pero si te gustan los edificios históricos de cualquier tipo, vale la pena visitarlo"".",Estados Unidos,Inglés,PC,2018-04-29,neutral
Femenino,57.0,Internacional,Muy bueno,4,578,"""Beautiful church, especially at night!""","""Entré a la iglesia un domingo por la noche durante la misa. Los encantadores candelabros estaban encendidos y se veían hermosos. El exterior también está iluminado por la noche y, aunque no es enorme, ciertamente se cierne sobre la plaza"".",Estados Unidos,Inglés,PC,2018-04-23,positivo
Masculino,33.0,Internacional,Excelente,5,112,"""Beautiful inside and out""","""Esta es claramente la pieza central de la ciudad y es hermosa. Entra y disfruta del arte, si hay una misa, sé respetuoso y evita las luces"".",Estados Unidos,Inglés,Móvil,2018-04-18,positivo
Masculino,64.0,Internacional,Muy bueno,4,491,"""Beautiful Church - Town Centerpiece""","""Parece que en una visita a Guanajuato pasas o ves esta hermosa iglesia donde quiera que vayas. Gran vista del exterior desde el final de la calle. Hermoso también por dentro. Prácticamente una parada obligada en tu visita a esta ciudad, y por una buena razón. .""",Estados Unidos,Inglés,Móvil,2018-04-17,positivo
Masculino,24.0,Nacional,Excelente,5,37,"""Hermoso lugar""","""Muy pintoresco la basilica se ve desde el mirador también, es una ciudad magnifica, ¡No se pierdan el elote asado en los carritos del costado!""",México,Español,PC,2018-04-16,positivo
Femenino,,Internacional,Excelente,5,52,"""Beautiful basilica""","""¡Una visita obligada para Guanajuato! Hermoso por dentro. La basílica es reconocible en toda la ciudad. Mobiliario ornamentado en el interior"".",Estados Unidos,Inglés,Móvil,2018-04-16,positivo
