Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Femenino,43.0,Internacional,Excelente,5,34,"""Un gran lugar para tomar fotos memorables""","""La ubicación aquí es perfecta para tomar fotos. El equipo se mueve muy rápido, por lo que no tiene que sentirse desanimado por la cola. Tienen un fotógrafo que toma fotos con una cámara profesional por una tarifa, pero también puede tomar fotos con su propia cámara o teléfono móvil. Si estás en Guanajuato, este es uno de los lugares que debes visitar.""",Camboya,Chino,PC,2018-06-24,positivo
Femenino,41.0,Internacional,Excelente,5,34,"""Great spot for an unforgettable photo""","""Excelente ubicación para una foto. Las líneas se mueven rápidamente, así que no se desanime por la línea. Tienen un fotógrafo que le tomará una foto con una cámara profesional por una tarifa, pero también puede pedirle a alguien que tome una foto con su propia cámara o celular teléfono. Uno de esos sitios que es imprescindible si alguna vez estás en Guanajuato.""",Estados Unidos,Inglés,PC,2018-06-24,positivo
Femenino,64.0,Internacional,Excelente,5,83,"""Donde Guanajuato debes ir""","""Por lo general, los edificios están muy cerca, pero es especial porque los balcones a ambos lados de la acera se tocan entre sí. Es muy bueno tomar fotos en este callejón, los colores son muy coloridos, de pie en los escalones rojos, no hay turistas, si se pierde un grupo de turistas que pueden ayudarlo a tomar fotos, habrá otras personas, si es pareja Amantes, puedes pedirle a otros turistas que te ayuden a tomar fotos.""",China,Chino,PC,2018-06-18,positivo
Femenino,59.0,Internacional,Excelente,5,83,"""A must do when in Guanjuato""","""Por lo general, los edificios están muy juntos, pero este es único ya que el balcón se toca entre sí a través de la pasarela. Muy fotográfico, hermosos colores, párese en el escalón rojo. No hay muchos turistas. Si pierde un grupo de turistas pero alguien llegará y si son una pareja, puedes pedirles que tomen una foto"".",Canadá,Inglés,PC,2018-06-18,positivo
Masculino,49.0,Nacional,Muy bueno,4,25,"""¡Vuelve a enamorarte!""","""Viajar con tu pareja significa en sí un acto de amor. Compartir, disfrutar y admirar conlleva ya la experiencia de vivir un momento único, y es justo eso lo que aporta la visita al Callejón del Beso, un lugar súper emblemático en Guanajuato. Visitar este lugar reafirma el compromiso simbólico con tu pareja y la esperanza de lo que esperan para el futuro. Por supuesto, el beso en el tercer escalón y la selfie es más que obligado. Existe la posibilidad de subir al balcón para tomarse una foto y el costo del acceso es de 20 pesos, pero si la fila es larga sugiero no perder el tiempo formándose y mejor invertirlo en seguir subiendo por los callejones del Venado, Calixto y la subida de San Miguel para disfrutar de la mejor panorámica de la ciudad desde el Monumento al Pípila. La subida es bastante pesada y hasta puedes jugar a ver quién tiene la peor condición, pero la recompensa de pasarla juntos en el mirador de verdad vale la pena.""",México,Español,PC,2018-06-18,positivo
Femenino,23.0,Nacional,Regular,3,102,"""Largas filas de espera para la fotografía""","""Este lugar icono de Guanajuato lo puedes visitar de dos formas: por tu cuenta o mejor aún si contratas la callejoneda por la noche acompañado de las estudiantinas te narran la historia de una forma divertida escenificada por los mismos turistas. 
 COMO TOMARSE LA FOTO: sí acudes en la tarde o en la noche durante las callejonadas encontrarás filas de más de 30 minutos de espera tomando en cuenta que la gente vive de noche en Guanajuato, hay personas lugareñas que te cobran 200 pesos por la foto, lo mejor es acudir en la mañana temprano mientras los demás duermen encontrarás solo el lugar sin filas y con mucha luz para unas buenas fotografías con tu cámara.""",México,Español,Móvil,2018-05-30,neutral
Masculino,63.0,Internacional,Muy bueno,4,108,"""Un buen lugar para besar a tu otra mitad""","""Es solo un callejón en muchos callejones, pero la historia es linda: párese debajo del letrero de la calle 10 pies arriba del edificio de la esquina, y cuando bese a su otra mitad debajo del letrero, permita que otro visitante tome una fotografía.""",Estados Unidos,Chino,Móvil,2018-05-29,positivo
Masculino,58.0,Internacional,Muy bueno,4,108,"""Good place to kiss your S.O.""","""Es solo un callejón en una ciudad de callejones, pero la historia es linda. Párate debajo del letrero de la calle que está a 10 pies de altura en el edificio de la esquina y haz que otro turista te tome una foto debajo del letrero mientras besas a tu pareja. """,Estados Unidos,Inglés,Móvil,2018-05-29,positivo
Masculino,38.0,Nacional,Excelente,5,38,"""Romance al alcance de la mano""","""El hecho de caminar por Guanajuato es evocar los tiempos en que México era romanticismo puro, y uno de esos lugares en que el amor lleno a plenitud esta ciudad es el callejón de beso, a una cuadra de la Plaza de los Ángeles encontraras éste callejón con la peculiaridad de la cercanía de sus balcones y la historia que la gente de la ciudad sin dudarlo querrá contártela por unas monedas, no te lo pierdas permite que te la cuenten y contagiate del romanticismo y la comicidad que le agregan a su relato, entra a la casa, donde podrás estar justo en el balcón donde los hechos sucedieron y claro si llevas pareja no olvides darte un beso en el tercer escalón y así tendrás 7 años de buena suerte y un motivo más para regresar a ésta espectacular y luminosa ciudad.""",México,Español,PC,2018-05-29,positivo
Femenino,19.0,Nacional,Excelente,5,22,"""¡Qué romántico!""","""El Callejón del Beso es un hermoso lugar... Cuando dos enamorados pasan por el Callejón del Beso, deben besarse en el tercer escalón para que su amor perdure por siempre... Es la última parada, si se realiza la famosa callejoneada, en la que te cuentan leyendas con la tradicional estudiantina, al calor de las risas y la compañía.""",México,Español,PC,2018-05-29,positivo
