Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Femenino,25.0,Internacional,Muy bueno,4,20,"""Diego was Talented at Portraiture""","""Pequeño museo interesante. La planta baja es la casa en la que nació, completa con decoración y muebles de principios de siglo. Arriba hay galerías de sus pinturas, en su mayoría de los primeros años de su carrera. Muchas obras impresionistas, postimpresionistas y cubistas. Encontré los retratos más convincentes"".",Estados Unidos,Inglés,PC,2016-05-22,positivo
Femenino,27.0,Internacional,Muy bueno,4,91,"""Hermoso museo""","""Ubicado en la zona turística la casa donde el famoso pintor vivió una etapa de su infancia , cuenta con réplicas de los muebles que en su época estuvieron acomodados en cada habitación, pinturas originales , una de las más destacadas la que realizó a los 11 años que fue la que lo colocó con los grandes maestros en Europa, vale la pena realizar un recorrido con guía.""",Argentina,Español,Móvil,2016-05-21,positivo
Femenino,25.0,Nacional,Muy bueno,4,22,"""Visita diver-cultural... :)""","""La exposición de obras de Diego Rivera es muy buena, que es el atractivo principal del museo... sin embargo las exposiciones temporales de otros artistas en las salas contiguas también son una buena opción…""",México,Español,PC,2016-05-20,positivo
Masculino,34.0,Internacional,Excelente,5,306,"""A great place to pay homage to the great painter and celebrated son of Guanajuato""","""Diego Rivera nació en Guanajuato y su familia decidió a fines del siglo XX convertirlo en un museo. No hay demasiadas pinturas del propio Rivera (la mayoría están en la Ciudad de México), pero siempre hay exposiciones itinerantes de famosos contemporáneos mexicanos"". pintores Lo que sí obtuviste es un vistazo de cómo la familia Rivera vivía en un entorno cómodo en el siglo XIX, y el museo está lleno de muebles de época. Lo interesante es que el museo estaba casi vacío, mientras que no puedes entrar en su igualmente célebre cónyuge (Frida Kahlo) en la Ciudad de México sin tener que hacer fila hasta cuatro horas. No son solo sus fabulosas pinturas, sino también el memorable papel de Selma Hayek en la película lo que la convirtió en un ícono aún mayor"".",Colombia,Inglés,PC,2016-05-19,positivo
Masculino,60.0,Internacional,Muy bueno,4,221,"""Deeper insight into the artist plus other high quality art on display""","""Si está interesado en el hombre y su relación histórica con México y el movimiento comunista, esta es una visita obligada. Sus primeros trabajos y la descripción de su educación lo ayudarán a comprender su educación y talentos. Los pisos inferiores están amueblados en un manera que fue en gran medida la forma en que vivió durante su breve estadía aquí. Tendrá que subir 3 tramos de escaleras para verlo todo, pero los pisos superiores tienen exhibiciones rotativas de artistas muy finos y vale la pena el esfuerzo. El museo muestra su primeros trabajos junto con muchos bocetos que tratan sobre influencias comunistas y cubistas"".",Estados Unidos,Inglés,PC,2016-05-18,positivo
Masculino,36.0,Internacional,Excelente,5,8,"""Great mixture of historic and contemporary Mexican Art""","""Con una nueva sección que acaban de agregar, este museo ofrece un espectro completo de arte, desde la vida y obra del icónico pintor mexicano Diego Rivera hasta las obras de artistas mexicanos contemporáneos. Dos de los espacios tienen exhibiciones rotativas"".",Canadá,Inglés,PC,2016-05-17,positivo
Masculino,32.0,Nacional,Excelente,5,112,"""Hidden gem!""","""Este museo está a poca distancia del centro de la ciudad y es una verdadera joya escondida, 3 pisos llenos de arte de uno de los artistas más importantes de México. La colección es propiedad de la nieta de Diego y recomiendo visitarla, el precio es realmente económico"".",México,Inglés,Móvil,2016-05-16,positivo
Masculino,30.0,Internacional,Regular,3,21,"""Nothing special for me""","""No sabía mucho sobre la entrada de Diego, vi la película de Frida y vi su rostro en el billete de 500 pesos y eso es todo lo que sé. Era una pequeña y linda galería de arte/museo. Podría haber tenido un poco de más sobre el mismo Diego para que la gente como yo pudiera aprender más sobre el hombre. También tenía partes con obras de arte de otros artistas, pero no había explicaciones de quiénes eran en inglés, pero eso es mi culpa por no saber español. De todos modos amigo, si tienes algo tiempo de sobra, supongo que es algo agradable de hacer, pero no me desviaría de tu camino a menos que seas un gran fanático de Diego"".",Estados Unidos,Inglés,Móvil,2016-05-15,neutral
Femenino,63.0,Internacional,Muy bueno,4,39,"""Me hice más consciente de Diego Rivera."" ","""Desde el precio accesible de 25 pesos para ver o saber que solamente entre famosos murales del esposo de Rivera, Frida Kahlo. Yo sólo pensé en ver la misma figura cómica de Diego Rivera. El trabajo de Rivera no es mucho incluso había visto fotos de otros artistas. La descripción esta bien en inglés.""",Corea del Sur,Coreano,Móvil,2016-05-14,positivo
Masculino,52.0,Nacional,Excelente,5,10,"""Exposición temporal""","""Es un excelente museo con las cosas donde nació Diego Rivera, es una sección del museo, las otras son exposiciones temporales muy bien distribuidas y diseñadas en su museografía. Vale la pena visitarlo cuenta con talleres infantiles y una librería.""",México,Español,Móvil,2016-05-13,positivo
