Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Femenino,39.0,Internacional,Muy bueno,4,41.0,"""Beautiful and historic meeting place""","""Un lugar pintoresco para relajarse con un helado y ver a los residentes de la ciudad pasar el día"".",Estados Unidos,Inglés,PC,2018-05-22,positivo
Masculino,28.0,Internacional,Excelente,5,218.0,"""Beautifully maintained heart of the city!""","""Era como estar en una ciudad europea. Cuando salí del taxi después de tomar un autobús de SMA a la estación de autobuses, me quedé completamente atónita pensando ¿acababa de entrar en Europa? El Jardín era compacto, limpio, bellamente diseñado y una sorpresa agradable. Restaurantes encantadores a su alrededor y muchos bancos y lugares para sentarse y disfrutar. Debe ver la atracción "".",Estados Unidos,Inglés,Móvil,2018-05-14,positivo
Masculino,,Internacional,Muy bueno,4,6.0,"""Scenic""","""Plaza muy pintoresca con muchos bares y restaurantes a su alrededor. Muchos artistas callejeros y comerciantes en esta área. Es un lugar turístico real y vale la pena pasar el tiempo aquí"".",Suecia,Inglés,PC,2018-05-13,positivo
Masculino,32.0,Nacional,Excelente,5,8.0,"""Lugar de reunión""","""Pintoresco lugar en el centro de Guanajuato. Original diseño y punto de encuentro de las Tunas, creo así se llaman. De aquí salen para las tradicionales ""callejoneadas"". No olvides comprar antojitos para pasar el rato.""",México,Español,Móvil,2018-05-12,positivo
Masculino,50.0,Internacional,Excelente,5,304.0,"""An oasis of peace and greenery in the historic centre""","""Este parque está ubicado centralmente al lado de un templo y el icónico Teatro Juárez, lleno de restaurantes donde el mariachi y otros músicos tocan por la noche. No puedo pensar en un mejor lugar para descansar después de un largo recorrido"".",Colombia,Inglés,PC,2018-05-08,positivo
Femenino,,Internacional,Excelente,5,520.0,"""Perpetual buzz of activity!""","""Nadie podría, literalmente, dejar esta plaza y seguir expuesto a los músicos, el teatro callejero, las vistas, los olores y los sonidos de la vida mexicana en un jardín colorido, seguro y bien cuidado. Había una banda completa tocando al mediodía. El domingo, músicos después del anochecer deambulando por los numerosos restaurantes y obras de teatro en la base del teatro. ¡Qué maravillosa muestra representativa de la vida!"".",Estados Unidos,Inglés,Móvil,2018-05-07,positivo
Femenino,63.0,Internacional,Excelente,5,59.0,"""Lush, shady, clean, gorgeous""","""Perfectamente ajardinado con muchos bancos, por lo que es un gran lugar para ir a cualquier hora del día. Con los cafés en las aceras alrededor y farolas antiguas, se parecía mucho a Europa. ¡Los pasillos perimetrales están pavimentados con mármol! Por las noches, música universitaria estudiantes vestidos con trajes históricos dan visitas guiadas (por una tarifa) para recaudar dinero para su programa. Tuvimos suerte y escuchamos a un grupo de ellos actuar. Diría que este fue mi recuerdo favorito de Guanajuato"".",Estados Unidos,Inglés,PC,2018-04-29,positivo
Femenino,30.0,Nacional,Excelente,5,32.0,"""Hermoso e inusual""","""i visita fue en dos horarios al dia dejando siempre ganas de regreser nuevamente, ya que a su alrededor encontraras restaurantes o lugares para consumir algo, por la noche es un lugar muy romantico y divertido.""",México,Español,PC,2018-04-27,positivo
Femenino,45.0,Internacional,Excelente,5,9.0,"""Clean and relaxing""","""Un pequeño parque justo enfrente del Hotel Posada Santa Fe. Es lindo, limpio y te da esa sensación de relajación"".",Estados Unidos,Inglés,PC,2018-04-26,positivo
Femenino,37.0,Internacional,Regular,3,109.0,"""Un buen lugar para vacaciones lugareños""","""Sentirse como una plaza pública vacacional, indicado para las personas mayores, niños, amigos o familiares para caminar, la poda de árboles muy suave, me siento un poco de sentido demasiado artificial de las modificaciones, un poco de piedad, pero todavía hay la oportunidad de experimentar mexicana estilo de vacaciones.""",Taiwán,Chino,PC,2018-04-21,neutral
Femenino,52.0,Internacional,Excelente,5,53.0,"""Beautiful park""","""Este es un hermoso parque frente al teatro. La gente se detiene y toma un descanso en los bancos del parque. Los árboles ofrecen sombra y son hermosos. Los vendedores venden comida, bebidas y recuerdos"".",Estados Unidos,Inglés,PC,2018-04-19,positivo
Femenino,,Internacional,Muy bueno,4,4.0,"""Relaxing""","""Hermoso y pequeño parque, siempre está ocupado, especialmente durante las noches. Siempre hay algo que hacer"".",Estados Unidos,Inglés,PC,2018-04-16,positivo
Masculino,48.0,Internacional,Excelente,5,491.0,"""Great People Watching; Busy, But Relaxing""","""Siéntese en un banco, compre una bebida o maíz de un vendedor ambulante, disfrute de la actividad callejera o de la gente paseando por el hermoso jardín con dosel. ¡Un lugar perfecto para pasar un tiempo en Guanajuato!""",Estados Unidos,Inglés,Móvil,2018-04-15,positivo
Femenino,52.0,Internacional,Excelente,5,72.0,"""Such a beautiful park""","""Me encantó este parque (Jardín). Estuvimos allí durante Semana Santa y todas las noches bandas y mariachis tocaban hasta altas horas de la madrugada. El Jardín está rodeado de hoteles y restaurantes y pubs al aire libre. ¡Excelente ubicación para observar a la gente!""",Estados Unidos,Inglés,PC,2018-04-07,positivo
Femenino,,Nacional,Regular,3,49.0,"""Ok""","""Aunque pequeño, está ubicado en el corazón de la ciudad, rodeado de restaurantes y a un costado del Teatro Juárez. Es ideal para sentarse a descansar y sacar tu mapa de la ciudad. También es un buen lugar para contratar un recorrido con la estudiantina (callejoneada)""",México,Español,Móvil,2018-04-05,neutral
Masculino,70.0,Internacional,Excelente,5,270.0,"""A magnet""","""Todos los días me encontraba caminando dentro o a través de esta gran plaza. Los árboles y la sombra son un gran lugar para descansar mientras escuchas la música de los músicos y mariachis que pasean. Hay una linda vista de la plaza desde el restaurante La Terraza en la esquina. .""",Nicaragua,Inglés,PC,2018-04-05,positivo
