Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Femenino,33.0,Internacional,Excelente,5,52,"""Busy city market""","""El mercado debajo de un gran edificio de metal está repleto de comerciantes y ruido. Siente la energía de la ciudad y huele los alimentos. Todo tipo de mercadería, alimentos, refrigerios y bebidas a la venta. La mayoría de los comerciantes solo hablan español y solo aceptan efectivo. Muy ¡a un precio razonable!""",Estados Unidos,Inglés,Móvil,2018-04-20,positivo
Masculino,50.0,Internacional,Muy bueno,4,491,"""People Watching, Local Feel Among The Tourists""","""Mercado muy bien hecho con muchos puestos de comida, productos agrícolas y carnes, pescados y aves. Disfrutamos de la comida (muy económica) con los lugareños. No es un lugar para comprar ropa de lujo u otras cosas, sino una variedad de artículos de regalo. Y , divertido observar a la gente, incluso fuera del edificio"".",Estados Unidos,Inglés,Móvil,2018-04-15,positivo
Femenino,24.0,Internacional,Excelente,5,39,"""Recuerdos son más baratos""","""El primer piso de la segunda planta, comida sencilla que están vendiendo recuerdos. Guanajuato que el precio de las cosas mucho más barato. Y mucho nahu de las figuras de cerámica para decorar la casa de Atocha. Ir a la Ciudad de México haría mothaetneunde no comprar un montón de comprar en la Ciudad de México lo hizo olgeol cuatro más. Había un pequeño cráneo visto los precios de venta se duplicó en Teotihuacan. Visita a lugares aquí y allá llegó la noche ni para comprar solicitando descender dando varias cuidado en vivo. En el primer piso de aterrizaje 15 dio lugar Carta Copa Sama pesos corte era pequeño, demasiado bueno dos veces. Enmascarado 5:00 de la mañana también estoy cerrando las tiendas de las puertas. Así que no van demasiado tarde.""",Corea del Sur,Coreano,Móvil,2018-04-10,positivo
Masculino,32.0,Nacional,Regular,3,19,"""Fuimos 2 veces a comer""","""Prueba las guacamayas y las comidas de la fonda en el segundo piso, los previos accesibles y sales satisfecho té queda cerca la Alhóndiga de granaditas.""",México,Español,Móvil,2018-04-08,neutral
Masculino,48.0,Internacional,Regular,3,94,"""Not that impressed""","""Estaba emocionado de ver este marcado. Pero no fue tan especial. Comimos carnitas aquí y fueron las peores carnitas que he comido, y ME ENCANTAN las carnitas. Hay pequeños taburetes de bar en los que te sientas y observas cómo cortan y cortar la carne. Afuera hay restaurantes para sentarse, no los vimos hasta después de comer adentro"".",Estados Unidos,Inglés,PC,2018-04-07,neutral
Femenino,30.0,Nacional,Regular,3,49,"""Colorido""","""El mercado según me dijeron se encuentra dentro de lo que alguna vez fue una estación de tren, hermoso por fuera e interesante y pintoresco por dentro. En la primera planta encontrarás todos los puestos de comida, y en la planta de arriba se encuentran artesanías y recuerdos de todos los lugares turísticos de la ciudad. Te recomiendo las tortas de Chicarrón con aguacate que vende justo frente a la entrada del mercado ;)""",México,Español,Móvil,2018-04-05,neutral
Femenino,25.0,Nacional,Muy bueno,4,9,"""¡Barato!""","""Tienes que visitarlo y si quieres comprar souvenirs es aquí, lamentablemente yo me fui en tour y me llevaron a cooperativas de mineros que según más “barato” después fui al
Mercado y la misma cadena que me dieron en $50 en la cooperativa estaba en $25 en el mercado.""",México,Español,Móvil,2018-04-05,positivo
Femenino,36.0,Internacional,Excelente,5,92,"""Una experiencia diferente""","""Como turista es muy interesante. Muchísimos puestos y distintas opciones de artículos del recuerdo al igual que mucha comida. La higiene si deja mucho que desear y en realidad si es un tema delicado pero si se elige con precaución si pudieran ir por algo para comer. Buenos precios.""",Chile,Español,PC,2018-04-04,positivo
Femenino,51.0,Internacional,Muy bueno,4,315,"""Lots to choose from""","""Este es un gran mercado que cubre 2 pisos completos con casi cualquier cosa que puedas imaginar. Debe haber más de cien puestos. Tenía una ubicación muy central y era de fácil acceso"".",Canadá,Inglés,PC,2018-04-01,positivo
Masculino,31.0,Nacional,Muy bueno,4,175,"""Muchas opciones para comer""","""Sabias que originalmente iba a ser una estacion de tren? Por eso el diseño tan bello. Desafortunadamente esta algo descuidado y falta mas orden con los comerciantes. Hay muchos puestos de comida: tortas, comida corrida, quesadillas, jugos, etc. Y al lado hay un mercado de pura comida. Puedes comer rico a buen precio, o al menos conocer un tipico mercado mexicano.""",México,Español,Móvil,2018-03-30,positivo
