Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Masculino,38.0,Nacional,Excelente,5,14,"""Hermosa vista de la ciudad""","""Hermosa vista de la ciudad y bonito paseo en el funicular. Seguro para viajar en familia y además de contar con diversos antojitos mexicanos en la parte superior.""",México,Español,Móvil,2018-07-19,positivo
Masculino,37.0,Internacional,Excelente,5,642,"""Magical view of the city""","""La vista es fácil de 5 estrellas. Verá muchas casas coloridas y edificios pintados de colores brillantes debajo. Además, excelentes vistas del centro histórico de la ciudad. No se lo puede perder"".",Canadá,Inglés,Móvil,2018-07-18,positivo
Femenino,27.0,Internacional,Excelente,5,16,"""¡No te lo pierdas!""","""¡Nos gusta mucho! Aquí verás increíbles vistas de la ciudad. Asegúrese de venir aquí para tomar una foto. Hay varios restaurantes de comida rápida y tiendas de recuerdos aquí. Llegamos a esta atracción en teleférico (verá otra gran vista en el teleférico). Cuando bajamos de la montaña, tomamos un taxi porque el viaje estaba bastante lejos.""",Singapur,Chino,PC,2018-07-14,positivo
Femenino,19.0,Nacional,Excelente,5,31,"""MONUMENTO Y VISTA PANORÁMICA""","""Una visita a este lugar te hará deleitar la pupila con la vista panorámica del viejo y hermoso Guanajuato puedes observar todo el centro histórico además puedes ingresar y subir hasta la punta del Monumento al Pípila para incrementar la experiencia, por comida no te preocupes encontrarás una gran variedad de puestos con antojitos mexicanos y muchas tiendas de souvenirs.""",México,Español,PC,2018-07-14,positivo
Femenino,20.0,Internacional,Excelente,5,16,"""Cannot miss!""","""¡Nos encantó! Tienes una vista increíble de la ciudad desde allí arriba. No te puedes perder esta sesión de fotos. Hay varios puestos de bocadillos y tiendas de souvenirs en la parte superior. Llegamos a este destino tomando el funicular (otra gran vista). Tomamos un taxi para bajar porque era bastante caminar"".",Estados Unidos,Inglés,Móvil,2018-07-14,positivo
Masculino,27.0,Internacional,Excelente,5,294,"""Fantastic view of Guanajuato""","""Si estás en Guanajuato, no puedes pasar por alto este lugar. Tienes esta vista increíble de toda la ciudad, con sus coloridas casas, montañas y cielo. También hay una estatua de uno de los héroes históricos de México, que puede ser visto desde la mayoría de los lugares de Guanajuato"".", Costa Rica,Inglés,PC,2018-07-13,positivo
Masculino,39.0,Nacional,Excelente,5,9,"""Monumento con historia""","""Es un lugar muy tradicional que no puedes dejar de visitarlo, ya que es parte de la historia de Guanajuato y de todo México.""",México,Español,PC,2018-07-09,positivo
Masculino,25.0,Nacional,Excelente,5,5,"""El mejor mirador""","""Es el mejor mirador de Guanajuato ahí disfrutas de rica gastronomía y lugares para conocer lo típico. La vista hermosa de toda la ciudad.""",México,Español,Móvil,2018-07-09,positivo
Masculino,43.0,Internacional,Excelente,5,57,"""La mejor vista de Guanajuato""","""Muy bonita vista de Guanajuato. Hay mucha vida ahi, esta muy fácil llegar, puedes comprar souvenir y algo de comida tambien.""",Nueva Zelanda,Español,PC,2018-07-04,positivo
Femenino,,Internacional,Excelente,5,88,"""Sitio de visita obligatorio""","""Símbolo de la ciudad para tomar buenas fotos. Aunque el día que lo visitamos estaba lloviendo igual valió la pena.""",Costa Rica,Español,PC,2018-06-26,positivo
Femenino,30.0,Internacional,Muy bueno,4,24,"""Interesante""","""Toda la historia de México y el extenso de Guanajuato en particular.""",Francia,Francés,PC,2018-06-24,positivo
Femenino,20.0,Internacional,Excelente,5,5,"""¡Excelente vista a la ciudad!""","""¡Fui a visitar el monumento de Pípila y quede fascinada! Tiene una vista increíble de la ciudad. Hay dos maneras de subir, caminando (qué te llevaría mucho más tiempo) o subiendo desde un carrito que te cobran $50 pesos la ida y vuelta. Realmente vale la pena.""",Guatemala,Español,Móvil,2018-06-22,positivo
Masculino,36.0,Internacional,Excelente,5,276,"""Importancia histórica""","""Visita obligada para visitar uno de los episodios importantes de la independencia de México. El joven valiente que permitió la toma de la Alhóndiga de Granaditas.""",Perú,Español,Móvil,2018-06-19,positivo
Masculino,30.0,Internacional,Excelente,5,61,"""Hermosa vista""","""Otra parada obligatoria en la visita a la ciudad de Guanajuato, desde aquí se aprecia la ciudad y los lugares más característicos de la ciudad.""",Costa Rica,Español,PC,2018-06-19,positivo
Femenino,28.0,Internacional,Excelente,5,9,"""Representante de la historia de Mexico""","""Conociendo la historia de Juan José de los Reyes Martínez, conocido como El Pípila, famoso personaje que ayudo a para el inicio de la libertad de México. La increíble vista a la ciudad de Guanajuato desde este punto es excepcional.""",Estados Unidos,Español,PC,2018-06-18,positivo
Masculino,50.0,Internacional,Pésimo,1,1037,"""Horrible""","""Significados históricos aparte, este monumento es un desperdicio de dinero, pues está hecho de doler. No vaya, no pierde nada.""",Brasil,Portugués,PC,2018-06-14,negativo
Masculino,56.0,Internacional,Excelente,5,324,"""Famoso""","""Un escenario famoso en todo el mundo. Me impresionó que el paisaje se abriera gradualmente mientras subía por el teleférico. La próxima vez me gustaría ver la vista nocturna.""",Japón,Japonés,Móvil,2018-06-14,positivo
Masculino,48.0,Internacional,Muy bueno,4,261,"""Cuando digo Guanajuato""","""Aquí está. Es un lugar turístico que ha venido muchas veces. Hoy subí con un teleférico por primera vez. Es un buen lugar para ver la ciudad de Guanajuato.""",Japón,Japonés,Móvil,2018-06-10,positivo
Femenino,33.0,Internacional,Muy bueno,4,29,"""Disfruta el paisaje aquí""","""Creo que a muchos locales no les gusta la enorme estatua del Pípila aquí, ¡pero el paisaje aquí es realmente bueno! ¡Guanajuato es una ciudad hermosa! Tomamos un taxi y seguimos el camino para explorar esta ciudad histórica.""",Estados Unidos,Chino,PC,2018-06-01,positivo
Femenino,28.0,Internacional,Muy bueno,4,29,"""Enjoy the View""","""No creo que mucha gente aprecie la estatua gigante de Pípila, ¡pero la vista aquí es excepcional! ¡Guanajuato es una ciudad tan hermosa! Tomamos un taxi hasta el sitio y caminamos por los callejones de la ciudad histórica"".",Estados Unidos,Inglés,PC,2018-06-01,positivo
Masculino,53.0,Internacional,Excelente,5,108,"""Best view of the city""","""La historia es importante, pero la mayoría busca una foto de la ciudad debajo y en la colina opuesta. Es fácil llegar allí y vale la pena detenerse"".",Estados Unidos,Inglés,Móvil,2018-05-29,positivo
Femenino,27.0,Nacional,Excelente,5,45,"""La vista mas espectacular de la ciudad""","""Subir al monumento de El Pípila es toda una experiencia, desde el corto trayecto del funicular panorámico en que se van viendo desde lo alto las vistas más hermosas del Jardín de la Unión hasta llegar al mirador y caminarlo eligiendo el mejor sitio para 'la foto del recuerdo' con la ciudad a sus pies luciendo su magnífica arquitectura. Es un imperdible.""",México,Español,PC,2018-05-28,positivo
Femenino,56.0,Internacional,Regular,3,16,"""Bueno""","""El viaje con el funicular es genial, el monumento en sí no es bello. La vista de la ciudad es espectacular.""",Holanda,Neerlandés,Móvil,2018-05-22,neutral
Masculino,64.0,Internacional,Excelente,5,2,"""Beautiful""","""Toda la ciudad es maravillosa vayas donde vayas, encuentras lugares maravillosos. El callejon del beso, todas las iglesias tienen su propia historia.""",Estados Unidos,Inglés,PC,2018-05-21,positivo
Masculino,25.0,Nacional,Excelente,5,8,"""¡Espectacular!""","""Simplemente tienes que ir. La mejor vista de Guanajuato la tienes aquí. Si viste la película COCO y te gustó, seguro te identificarás con este lugar.""",México,Español,Móvil,2018-05-11,positivo
Femenino,33.0,Nacional,Excelente,5,15,"""Hermoso""","""Da una hermosa vista , está muy bonito el lugar ya que puedes comprar muchas cosas aparte su vista es impresionante.""",México,Español,Móvil,2018-05-11,positivo
Femenino,31.0,Internacional,Excelente,5,543,"""Take the funicular...unrivaled view awaits!""","""La boletería se encuentra justo detrás del Teatro Juárez, la ventana se encuentra dentro o fuera por una compra de $3. Suba al funicular y ascienda al acantilado en un viaje que dura unos cinco minutos. La vista es impresionante: hay vendedores en la parte superior para sus compras y el placer de comer. Tendrá que comprar otro boleto en la parte superior para su regreso. La estatua es enorme y su historia es convincente. ¡Este es un sitio de visita obligada en Guanajuato!",Estados Unidos,Inglés,Móvil,2018-05-07,positivo
Masculino,33.0,Internacional,Excelente,5,14,"""Mejor vista de la ciudad""","""Es el lugar perfecto para ver el atardecer de la ciudad. Puedes subir en coche, caminando o por el funicular dependiendo de tus gustos, presupuesto y el tiempo que le quieras dedicar a la visita. Hay algunos restaurantes y tiendas pero son caros. Vale la pena esperar para ver la ciudad de noche para después bajar a una callejoneada al centro.""",Canadá,Español,PC,2018-05-06,positivo
