Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Femenino,44.0,Internacional,Muy bueno,4,4,"""Different""","""El museo es una colección de cuerpos que fueron momificados sin querer. Aunque las momias están bien, la explicación de cómo murieron o qué les sucedió después es un poco espeluznante para los niños más pequeños. Algo interesante que hacer y una visita obligada en Guanajuato"".",Estados Unidos,Inglés,Móvil,2018-07-23,positivo
Masculino,61.0,Internacional,Muy bueno,4,294,"""Cool, if a bit creepy""","""Este museo es esencialmente una exhibición muy larga de momias. Intentan darles diferentes ángulos, explicando parte de la historia y las razones por las que los cuerpos terminan en ese estado. Se vuelve un poco repetitivo después de un tiempo, pero sigue siendo un Una buena mirada de cerca a las momias, que no es algo que se vea todos los días"".",Costa Rica,Inglés,PC,2018-07-13,positivo
Masculino,40.0,Internacional,Regular,3,99,"""Museo de momias secas""","""Guanajuato dijo que no había espacio para el entierro en el pueblo de la montaña, y en el pasado se decía que en lugar de enterrarlo, el cuerpo se colocaba en un túnel donde se terminaba la excavación. Fue este museo que una persona de la posteridad que vio que el cuerpo se secaba bien con un clima seco luego reunió los cuerpos. Todo está bien seco.""",Japón,Japonés,PC,2018-06-28,neutral
Femenino,35.0,Nacional,Muy bueno,4,45,"""Ok""","“Las Momias de Guanajuato son famosas a nivel internacional. Han viajado a varios museos en el extranjero y siempre regresan a su ciudad natal.

Conservados naturalmente por los minerales que se encuentran en el suelo de Guanajuato, puedes verlos y, mientras imagino su vida anterior, imagino mi propia muerte.

La visita puede resultar impactante para algunos, divertida para otros pero nunca indiferente”.",México,Inglés,Móvil,2018-06-13,positivo
Femenino,20.0,Nacional,Excelente,5,8,"""Amazing""","""Es un lugar increíble para conocer la historia de cada momia allí, definitivamente los turistas deben visitar el museo"".",México,Inglés,Móvil,2018-06-11,positivo
Masculino,45.0,Internacional,Regular,3,1036,"""Común""","""No salí tan impresionado como otros porque ya he visto mucha momia como en Egipto, Argentina, Bolivia, etc. En realidad no son cuerpos preparados para la preservación como en Egipto. Los cuerpos fueron preservados por el clima seco y suelo arenoso de la región. Paseo interesante, pero que no añade nada en la vida de la persona, como los museos de historia natural con animales embalsamados.""",Brasil,Portugués,PC,2018-06-09,neutral
Femenino,40.0,Internacional,Muy bueno,4,29,"""Wierd and Unique""","""Sí, un museo de momias. Aparentemente, el calor y los químicos del suelo en este sitio frecuentemente crean momias a partir de los cadáveres. Como las tumbas se reutilizan cada 5 años, si se encuentra una momia y la familia no la reclama, pasa a ser propiedad del estado como un tesoro nacional. La mayoría de las momias no son muy antiguas. Muchas todavía tienen el pelo y la ropa de entierro. Los recorridos son en español, por lo que los angloparlantes están en desventaja"".",Estados Unidos,Inglés,PC,2018-06-01,positivo
Masculino,49.0,Internacional,Regular,3,42,"""Mixed feelings on this place""","""Por un lado, las 'momias' son muy interesantes y merecen una visita. Algunas incluso son bastante inquietantes. Por otro lado, sin embargo, hay una atmósfera casi de carnaval allí, con 'marcos para selfies' móviles para que puedas tomarte una selfie con uno de los cadáveres. No soy tan sentimental, pero vamos... estos merecen un mínimo de respeto, una vez fueron los seres queridos de alguien. Algunas de las momias tienen un contexto a su alrededor, una historia que contar, pero otras simplemente están alineados... sería bueno tener algún tipo de contexto a su alrededor, todos deben tener historias que contar"".",Estados Unidos,Inglés,PC,2018-05-30,neutral
Masculino,64.0,Internacional,Muy bueno,4,108,"""Novel enough to deserve a visit""","“Para la gente que se siente cómoda viendo unos 20 cadáveres petrificados, vale la pena un viaje. México honra a sus muertos, y ver muertos es emocionalmente diferente que en Estados Unidos.

Los cuerpos están petrificados a causa del suelo. No estaban envueltos para ser preservados, como las momias egipcias"".",Estados Unidos,Inglés,Móvil,2018-05-29,positivo
Femenino,26.0,Nacional,Pésimo,1,7,"""Weird""","""No es un lugar para celebrar la muerte... solo muestran viejos cadáveres como un circo... no estoy seguro de que esto sea bueno para mostrar nuestra cultura...""",México,Inglés,Móvil,2018-05-27,negativo
