Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Masculino,69.0,Internacional,Excelente,5,70,"""Beautiful location for a symphony""","""Hermoso teatro histórico: excelente lugar para un concierto. Desafortunadamente, el ruido de los artistas callejeros se filtra y distrae mucho"".",Estados Unidos,Inglés,Móvil,2018-06-24,positivo
Masculino,43.0,Nacional,Excelente,5,3,"""Wow!""","""Este es el segundo mejor y más agradable teatro de México. Me encanta este lugar, puedes tomar fotos. Sin problema, no como las artes de Bella que cobran allí, es barato ver dentro de este hermoso lugar"".",México,Inglés,Móvil,2018-06-16,positivo
Masculino,55.0,Internacional,Regular,3,1016,"""Comodín""","""Para aquellos que conocen muchos países, el Teatro Juárez es más que otro teatro, bastante dudoso gusto arquitectónico y decoración. Tiene una historia interesante, pero lejos de merecer el primer lugar en Tripadvidor. Bien vale la pena la visita en el contexto de una visita al centro de Guanajuato..""",Brasil,Portugués,PC,2018-06-12,neutral
Masculino,36.0,Internacional,Excelente,5,227,"""Incredible detailing, amazing architecture""","""Me recordó a estar en Roma, era un hermoso edificio justo en el corazón de Guanajuato. Las estatuas en la parte superior del edificio eran impresionantes y la apariencia general era simplemente majestuosa. Ubicado alrededor del Jardín principal, es imposible pasarlo por alto si estás haciendo algún tipo de turismo en la ciudad. Vale mucho la pena un paseo y fotografías"".",Estados Unidos,Inglés,Móvil,2018-05-14,positivo
Masculino,40.0,Internacional,Excelente,5,306,"""Imposing building from the turn of 19th century""","“Este edificio es realmente espléndido, no tanto, por supuesto, como el famoso Bellas Artes de la Ciudad de México, pero interesante y con mucha historia. La lástima es que casi todos los teatros hermosos de América del Sur rara vez tienen más de cuatro o cinco funciones al mes. y eso se aplica incluso al célebre Teatro Municipal de Río de Janeiro. Una parte interesante de la historia fue que se inauguró con Aida de Verdi, solo cuatro años después del estreno mundial de esta famosa obra maestra de Verdi...""",Estados Unidos,Inglés,PC,2018-05-08,positivo
Femenino,64.0,Internacional,Excelente,5,521,"""Beautiful!""","""Este teatro, todavía en uso hoy en día, es un ejemplo de los teatros mexicanos que ocasionalmente se encuentran en centros culturales construidos durante el siglo XIX. Está muy bien mantenido y algunos de los carteles históricos grandes están en inglés para una mayor apreciación de lo que se está haciendo"". viendo. A un precio razonable y bien vale la pena una hora!""",Estados Unidos,Inglés,Móvil,2018-05-07,positivo
Femenino,28.0,Internacional,Muy bueno,4,2,"""Teatro Juárez""","""Este teatro es el punto principal de la ciudad. Por lo tanto, recomendaré comenzar su recorrido con una visita. El precio es mínimo y bien vale la pena... Los niños pequeños no pagan la entrada"".",Estados Unidos,Inglés,Móvil,2018-04-23,positivo
Masculino,50.0,Internacional,Excelente,5,54,"""Mexican Dance performance""","""Asistí con un amigo local a un espectáculo de baile de jóvenes artistas de diferentes regiones de México. Los bailarines fueron excelentes. ¡La música y el vestuario fueron vibrantes! Los bailarines fueron muy profesionales y talentosos"".",Estados Unidos,Inglés,Móvil,2018-04-21,positivo
Masculino,38.0,Internacional,Excelente,5,119,"""Stunning!""","""Este es el tercer teatro más hermoso de México solo detrás de bellas artes en la Ciudad de México y degollado un Guadalajara. Puedes ingresar al teatro en un horario limitado, así que consulta en línea. Personalmente, me gusta verlo de noche, pero durante el día también es hermoso"".",Estados Unidos,Inglés,Móvil,2018-04-18,positivo
Masculino,62.0,Internacional,Muy bueno,4,503,"""Beautiful Theater""","""Un verdadero placer. Vuelve a una época pasada. Asientos de madera. Múltiples niveles. No es un mal asiento en el edificio"".",Estados Unidos,Inglés,Móvil,2018-04-15,positivo
