Género,Edad,Nacional ó Internacional,Calificación,Escala,Número de aportaciones,Título de la opinión,Opinión,País,Idioma,Dispositivo,Fecha,Sentimiento
Masculino,38.0,Nacional,Excelente,5,50,"""Imponente""","""Es una construcción imponente desde que te vas acercando y la ves a lo lejos te sorprende su magnifica arquitectura. Tiene una gran cantidad de escalones en los cuales al llegar a lo mas alto podrás ver una parte de la ciudad.""",México,Español,PC,2018-05-29,positivo
Masculino,60.0,Internacional,Excelente,5,12,"""Explore the inside!""","""Los escalones son hermosos para las vistas y el ejercicio, pero aproveche la oportunidad para caminar adentro, ver la antigua biblioteca y el museo, las exhibiciones de arte, las antiguas y fantásticas puertas y la arquitectura, los estudiantes y profesores errantes. A veces muestran películas y otras actividades gratis. eso puede ser de tu interés, y si hablas español algunas personas están más que dispuestas a darte información sobre las atracciones de este maravilloso campus.""",Estados Unidos,Inglés,PC,2018-05-26,positivo
Femenino,22.0,Internacional,Excelente,5,89,"""Excelente""","""El lugar es fantástico y tiene una envidia arquitectónico. Para las personas que disfrutan de los edificios que miran bien hecho y tomar fotos con un fondo hermoso paisaje, es un lugar maravilloso.""",Portugal,Portugés,PC,2018-05-25,positivo
Femenino,49.0,Nacional,Excelente,5,4,"""Espectácular""","""Me gusto la arquitectura del edificio y las hermosas escaleras. Si subes las escaleras, apreciaras una hermosa vista de Guanajuato.""",México,Español,PC,2018-05-20,positivo
Femenino,23.0,Internacional,Excelente,5,3,"""Lugar imperdible de Guanajuato""","""Edificación que de día o de noche es imagen que no se olvida, subir sus escaleras te hace sentir que estás en hogwarts (si te gusta el mundo de fantasía de Harry Potter). Es una de las fachadas de universidad más bonita que he visto.""",Chile,Español,Móvil,2018-05-06,positivo
Femenino,34.0,Internacional,Excelente,5,106,"""Cuando un joven y vibrante""","""Antes de que los edificios bien construidos, los estudiantes utilizan para sentarse en las escaleras. Nahu y me siento bien el estado de ánimo de la ATO haebogil recomiendo visitar al menos una vez.""",Corea del Sur,Coreano,PC,2018-05-05,positivo
Masculino,30.0,Internacional,Excelente,5,62,"""Beautiful and in the center of the town""","""Un gran lugar para visitar y pasar el rato con los estudiantes y la ciudad en los escalones del edificio y tomar un helado"".",Estados Unidos,Inglés,PC,2018-05-01,positivo
Femenino,29.0,Internacional,Excelente,5,18,"""ARQUITECTURA MARAVILLOSA""","""Fantástica arquitectura, nos encantó tanto la arquitectura externa como las instalaciones además fuimos en un cervantino fue increíble de verdad!""",Perú,Español,PC,2018-04-30,positivo
Masculino,35.0,Nacional,Excelente,5,32,"""Hermosa y Colonial""","""Sin duda la infraestructura de este hermoso lugar hace que al visitar la Ciudad de Guanajuato tengas que visitar uno de los edificios mas importantes y con una larga historia .""",México,Español,PC,2018-04-27,positivo
Masculino,22.0,Internacional,Muy bueno,4,578,"""Intereating history here....""","""Habíamos contratado a un guía que en realidad fue a la universidad aquí, por lo que la historia interna fue excelente. Optamos por no subir estos escalones, pero sí vamos a los edificios adyacentes donde se muestra parte de la historia. Algunas noches, colocan una pantalla grande y mostrar películas al final de estos pasos... ¡muy divertido!""",Estados Unidos,Inglés,PC,2018-04-23,positivo
Masculino,27.0,Nacional,Excelente,5,134,"""Muy lindo lugar""","""La máxima casa de estudios de Guanajuato, una infraestructura, impresionante y muy bella, si subes los escalones tendrás una vista hacia el centro de la ciudad que es imperdible.""",México,Español,PC,2018-04-17,positivo
Masculino,,Nacional,Regular,3,19,"""Un clásico… para conocer""","""De día o de noche es un lugar para la foto, está muy cerca de la plaza de la Paz. Venden muchas cosas para comer me gustó que si presentas tu credencial de estudiante te hacen descuento en la comida como hojaldras, empanadas etc. Por lo mismo qué circula mucho estudiante. Vayan todo en el centro.""",México,Español,Móvil,2018-04-16,neutral
Femenino,,Internacional,Muy bueno,4,4,"""Beautiful building""","""Tantas escaleras, pero vale la pena la vista una vez que estás en la cima. Gran ejercicio en esas escaleras. Bonito edificio para visitar"".",Estados Unidos,Inglés,PC,2018-04-16,positivo
Masculino,48.0,Internacional,Excelente,5,54,"""Iconic university""","""Hermosa universidad. Debes subir las escaleras para una foto. Puedes reconocer la universidad de toda la ciudad"".",Estados Unidos,Inglés,Móvil,2018-04-16,positivo
Masculino,,Nacional,Excelente,5,6,"""Imponente""","""Buen ambiente...gran construcción y estilo...si bien no ofrece ningun servicio es una parada obligatoria en guanajuato la cual es una ciudad expectacular.""",México,Español,Móvil,2018-04-09,positivo
Femenino,31.0,Nacional,Excelente,5,49,"""¡Hermosa!""","""Hermoso edificio que permite admirar la tradicional cantera Guanajuatense, no pudimos entrar pero sin duda es una parada obligatoria para tomar una buena foto.""",México,Español,Móvil,2018-04-05,positivo
Femenino,70.0,Internacional,Regular,3,413,"""Universidad de Guanajuato""","""Esto no quiere decir que lo que vas a ver, el edificio es un buen universidad. También hay una tienda de moda, puede comprar una mercancía logotipo de la universidad. No se puede evitar debido a que el soporte de la universidad, me gustaría y también hay un producto de más para los turistas.""",Japón,Japonés,PC,2018-04-04,neutral
Masculino,34.0,Nacional,Excelente,5,8,"""Muy bien""","""Muy bonito lugar para tomarse fotos, un imperdible de esta ciudad, muchos escalones pero vale la pena.""",México,Español,Móvil,2018-04-02,positivo
Femenino,45.0,Nacional,Excelente,5,123,"""¡DEBES IR!""","""Los callejones que te llevan a la universidad son muy lindos y cuando llegas encuentras unas grandes escaleras que te llevan a la universidad, fascinante! nos encanto el lugar, ¡si vas a Guanajuato debes conocer este monumento arquitectónico!""",México,Español,PC,2018-04-02,positivo
Femenino,39.0,Nacional,Muy bueno,4,8,"""Imperdible""","""Muy bonito lugar las escaleras espectaculares. Nos encantó el lugar. Es una zona muy segura. No debes dejar de tomarte la foto.""",México,Español,Móvil,2018-04-01,positivo
Masculino,58.0,Nacional,Excelente,5,43,"""De las fotos obligadas para Facebook e Instagram""","""Lo visitamos por la mañana y salieron fotos muy bonitas de todo el lugar pues la construcción por si misma es de llamar la atención.""",México,Español,PC,2018-03-26,positivo
Masculino,47.0,Nacional,Excelente,5,159,"""¡¡IMPRESIONANTE!!""","""Es impresionante encontrar esta joya arquitectónica, con 88 escalones que engalanan la entrada de esta extraordinaria Universidad.""",México,Español,PC,2018-03-21,positivo
Femenino,65.0,Internacional,Excelente,5,36,"""Hermoso edificio""","""Imponente edificio con una gran fachada y escaleras empinadas. Pasos ofrece ideal para grupo o familia de fotos.""",Alemania,Alemán,Móvil,2018-03-21,positivo
Masculino,22.0,Nacional,Excelente,5,56,"""Lo mejor de Guanajuato""","""Es el edificio más bonito de La Ciudad. Háganse todas las fotos que quieran. De verdad vale la pena pasar un buen rato ahí. Visítenlo varias veces para evitar las conglomeraciones que suele haber. Lo más importante es estar atentos al tráfico. Aunque haya policía cuidando a los vehículos estar al pendiente nunca sobra.""",México,Español,Móvil,2018-03-19,positivo
Femenino,44.0,Nacional,Excelente,5,32,"""¡Increíble!""","""Llegar arriba y ver la ciudad desde ahí! es increíble, una joya arquitectónica, vale la pena conocerla.""",México,Español,PC,2018-03-16,positivo
Masculino,41.0,Internacional,Muy bueno,4,56,"""Wonderful building""","""Este es un gran edificio que se ve mejor de cerca, así como desde el Mirador con El Pípila. El tramo de escaleras es muy divertido de subir. De hecho, tomé algunos cursos allí una vez"".",Estados Unidos,Inglés,PC,2018-03-14,positivo
Masculino,28.0,Nacional,Excelente,5,92,"""Joya arquitectonica""","""Un bellísimo edificio que adorna las calles coloniales de una maravillosa ciudad. En ocasiones con eventos especiales. Las escalinatas no son para cualquiera ya que son muy pesadas. No lo recomiendo mucho en días de clases ya que hay flujo estudiantil.""",México,Español,PC,2018-03-12,positivo
Femenino,21.0,Nacional,Excelente,5,28,"""Edificio impresionante""","""En edificio con mucha historia que se conserva en un excelente estado a pesar de tantos años. Vale la pena visitar (es sin costo)""",México,Español,Móvil,2018-03-11,positivo
Masculino,26.0,Internacional,Muy bueno,4,150,"""Los callejones de la magnífica""","""Caminamos desde el callejón junto a la iglesia, que de repente se encuentra este enorme edificio blanco, situado entre las magníficas callejones. En el sol brillante blanca escalera provoca el deseo de subir a la cima de descubrir, pero por desgracia, no todas las puertas todos los días, ir a visitar a probar suerte. Hay escalera de al lado del narrador para explicar la historia Campus'd hacer una cosa interesante. Escuelas tienda de ropa o joyas escolares tráfico en la Gran Escalera, si está interesado.""",Taiwán,Chino,PC,2018-03-10,positivo
Masculino,37.0,Internacional,Excelente,5,15,"""Bellísimo""","""Parada obligatoria, arquitectura hermosa. Magnífica para la vista. No hay manera de ir en Guanajuato y no se dan cuenta este bello edificio.""",Italia,Italiano,PC,2018-03-05,positivo
Masculino,47.0,Internacional,Regular,3,2570,"""Hermoso""","""Cuenta con una hermosa arquitectura, que recuerda a una iglesia o un castillo medieval, pero una casa de estudio. Una lástima que no sea posible el acceso.""",Brasil,Portugés,Móvil,2018-03-01,neutral
Masculino,38.0,Nacional,Excelente,5,54,"""Hermosa Casa de Estudios""","""Es una de las más bellas construcciones de la ciudad, su escalinata es hermosa y vale la pena muchas fotos en ella , aunque siempre hay gente alrededor.""",México,Español,PC,2018-03-01,positivo
Masculino,43.0,Internacional,Muy bueno,4,216,"""Universidad de Guanajuato que es también estudiantes japoneses""","""Este escaleras Siempre hay una gran cantidad de personas que hacen símbolo de la Universidad de Guanajuato. En los alrededores vio una figura de estudiantes japoneses. Es un buen ambiente.""",Japón,Japonés,Móvil,2018-02-25,positivo
Femenino,69.0,Internacional,Muy bueno,4,25,"""¡Mira hasta cerrar los monumentos históricos!""","""Fui en la mañana, pero no pude apreciarlo bien,  no había estudiantes. (De acuerdo con el conductor de Uber ...) pero es un paisaje muy hermoso para ver la imagen colorida casa de Pípila.""",Japón,Japonés,Móvil,2018-02-24,positivo
Femenino,35.0,Nacional,Muy bueno,4,83,"""De las mejores joyas arquitectonicas de Guanajuato""","""Visita obligada, impresionante construcción entre tantos callejones de camino al Museo de Diego Rivera.""",México,Español,PC,2018-02-21,positivo
Femenino,25.0,Internacional,Muy bueno,4,56,"""Precioso""","""Un edificio precioso y muy característico de la ciudad. De obligada visita. Nos gustó mucho conocerlo.""",España,Español,Móvil,2018-02-19,positivo
Femenino,58.0,Internacional,Excelente,5,757,"""The View""","""La Universidad de Guanajuato es un edificio céntrico. No pudimos entrar al edificio, pero subir las largas escaleras ofrece una vista magnífica"".",Canadá,Inglés,Móvil,2018-02-17,positivo
Femenino,32.0,Internacional,Muy bueno,4,7,"""Hermosa Universidad""","""Tomé las fotos solamente aspecto porque era domingo es la ubicación que Tachiyoreru en el centro de la ciudad para caminar, pero era grande hermoso edificio.""",Japón,Japonés,Móvil,2018-02-15,positivo
Masculino,33.0,Internacional,Excelente,5,93,"""285 years of history""","""Muy bonito edificio, no te puedes perder la enorme escalera exterior. Recomiendo también entrar y subir un par de niveles. 15 minutos y puedes tener una vista rápida de la historia, el aula, la cafetería, etc. En la parte principal El edificio es una pequeña sala con información adicional de la universidad"".",Chile,Inglés,Móvil,2018-02-15,positivo
Masculino,,Internacional,Excelente,5,48,"""Un edificio muy estudiado""","""Imprescindible la foto en la escalinata. Edificio muy bien conservado con una arquitectura acorde con el uso.""",España,Español,PC,2018-02-11,positivo
Femenino,60.0,Internacional,Muy bueno,4,62,"""Hermosas escaleras""","""No se puede entrar en la universidad, pero sin duda el imponente edificio es impresionante, lo legal y observa los estudiantes subir y bajar las escaleras como si no cansado, muy hermoso lugar, el estudio no debe dar una buena condición física más allá del título.""",Brasil,Portugés,PC,2018-02-08,positivo
Femenino,45.0,Internacional,Regular,3,332,"""Walk By and Look at the Architecture""","""Este no es realmente un lugar para visitar, sino que es un lugar para mirar mientras camina y recorre la ciudad. Es un edificio colonial con muchos escalones y un lugar para sentarse y observar a la gente pasar. No es un destino en sí mismo. pero lo verás en cualquier recorrido a pie por la ciudad"".",Estados Unidos,Inglés,PC,2018-01-29,neutral
Femenino,51.0,Internacional,Muy bueno,4,63,"""Hermoso e impresionante lugar""","""Grandeza arquitectónica del lugar y con una escalera que dan ganas de sentarse y tomar una foto de recuerdo. Gauanajuato símbolo de la cultura y los estudios míticas y seres Cervantes autor del trabajo D.Quixote.""",Brasil,Portugés,Móvil,2018-01-28,positivo
Masculino,49.0,Internacional,Excelente,5,3298,"""Arquitectura escénica""","""La alta escalera que conduce a la Universidad y el igualmente de alta fachada con los vasos de patrones y ventanas ovaladas son espectaculares alas teatrales del centro de Guanajuato, sin duda merece una visita. No se pierda.""",Italia,Italiano,PC,2018-01-25,positivo
Masculino,49.0,Internacional,Muy bueno,4,29,"""Colonial building with lots of steps""","""La arquitectura es agradable. No hay muchas cosas que hacer en este edificio. Puedes subir los escalones o tomar fotografías"".",Estados Unidos,Inglés,PC,2018-01-24,positivo
Masculino,68.0,Nacional,Excelente,5,28,"""Bellísima universidad""","""Sin duda una joya arquitectónica, subir sus escalinatas y la vista es imperdible, centrico, bello y sin duda uno de los tantos edificios que hacen de guanajuato patrimonio de la humanidad, he visitado aprox 14 veces la ciudad de guanajuato y no me canso de hacerlo.""",México,Español,PC,2018-01-23,positivo
Femenino,19.0,Nacional,Excelente,5,79,"""Really nice""","""Fui allí con algunos amigos, aunque solo nos sentamos en los escalones, admiramos la belleza y tomamos algunas fotos, ¡seguro que valió la pena caminar bajo el sol abrasador!""",México,Inglés,PC,2018-01-16,positivo
Masculino,,Nacional,Excelente,5,25,"""Emblemática""","""Ir a Guanajuato y no ir a este lugar es como no haber ido. Hermosa arquitectura, muy visitado y vale el boleto conocer este lugar.""",México,Español,PC,2018-01-16,positivo
Masculino,28.0,Internacional,Muy bueno,4,22,"""A beautiful building""","""Es un edificio muy hermoso con demasiadas escaleras para subir. Estarías feliz con tu foto allí"".",Egipto,Inglés,Móvil,2018-01-13,positivo
Femenino,20.0,Nacional,Excelente,5,25,"""¡Excelente lugar para descansar!""","""Después de un día de caminar por Guanajuato, termina el día sentado en la parte más alta de las escaleras. Recuerda antes de subir, pasar por los cafés que se encuentran abajo, ¡así tendrás algo que tomar para pasar el rato!""",México,Español,PC,2018-01-12,positivo
Masculino,71.0,Internacional,Muy bueno,4,949,"""Hermoso edificio""","""Nos dirigimos a la universidad. Bonito edificio moderno con una arquitectura neoclásica que se alinea bien con el centro histórico. Fue construido sobre las ruinas de la antigua universidad jesuita. Subo 3 tramos de 27 pasos para encontrar un hermoso anfiteatro y una hermosa vista del Pípila en la colina opuesta. También se visita una pequeña exposición en la galería de arte de la universidad.""",Canadá,Francés,PC,2018-01-06,positivo
Femenino,37.0,Nacional,Excelente,5,23,"""Universidad Guanajuato""","""Este lugar me dejo sin palabras solo puedo decir que se convirtió en uno de lo lugares mas maravillosos que he conocido volvería muchas veces sólo para visitar esta maravilla, mi lugar favorito en Guanajuato.""",México,Español,Móvil,2018-01-06,positivo
Femenino,,Nacional,Excelente,5,148,"""Preciosa""","""Solo puedo imaginar lo que sienten los estudiantes que tiene el privilegio de estudiar ahí. Es un lugar hermoso que no se pueden perder.""",México,Español,Móvil,2018-01-05,positivo
Femenino,24.0,Nacional,Muy bueno,4,63,"""LUGAR EMBLEMÁTICO Y VISITA OBLIGADA""","""Sí vas al centro de Guanajuato debes visitarlo, desde el lugar que lo veas es un edificio con una construcción emblemática, no pasa desapercibido y resulta atractivo. Ve cómodo y atrévete a subir por todas sus escaleras hasta la puerta principal, dónde tendrás una de las mejores vista de la ciudad de Guanajuato.""",México,Español,Móvil,2018-01-04,positivo
Masculino,30.0,Internacional,Muy bueno,4,6,"""Gran arquitectura""","""Muy buen lugar para hacer fotos, para los fanaticos de Game of Thrones, no podran negar que este lugar recuerda a la septa de Baelor.""",Panamá,Español,PC,2018-01-02,positivo
Masculino,58.0,Nacional,Excelente,5,26,"""Bellísimo edificio""","""Es uno de los edificios más bonitos de la ciudad que resalta por su color blanco y con escaleras interminables... La sala es una belleza, antigua iglesia que ahora es utilizada como sala para conferencias y congresos.""",México,Español,PC,2018-01-02,positivo
Masculino,45.0,Internacional,Excelente,5,35,"""Arquitectura impresionante""","""La universidad es una de las atracciones que no deben faltar en tu visita a la ciudad de Guanajuato tiene una escalinata con una vista panorámica y una sensación difícil de describir tienes que visitarlo.""",Guatemala,Español,Móvil,2017-12-28,positivo
Masculino,29.0,Internacional,Excelente,5,21,"""Maravillosa""","""Primer punto a destacar es que mantienen muy limpia la zona y sus alrededores, se encuentra en perfecto estado, es hermosa y nos toco un señor nativo que se encontraba explicando la historia que es maravillosa, una verdadera obra de arte, recomendable asistir con familia ya que ds muy tranquilo y seguro, al llegar arriba la vista que se aprecia es en verdad algo hermoso que hace sentir orgulloso de ser Mexicano.""",Honduras,Español,Móvil,2017-12-27,positivo
Masculino,58.0,Internacional,Excelente,5,14,"""Impresionante""","""Quizás no sea parada importante pero si es necesaria si hay tiempo libre para recorrer la ciudad, y las personas que se acercan para dar información son grandiosos, se aprende mucho de ellos.""",Chile,Español,Móvil,2017-12-25,positivo
Masculino,27.0,Internacional,Excelente,5,59,"""Gotta climb those stairs!""","""Un elemento icónico de Guanajuato que debe ser visitado. Reconocí los escalones que conducen a la universidad en una escena de la película ""Érase una vez en México"". Si fue lo suficientemente bueno para Antonio Banderas, fue lo suficientemente bueno para mí. !""",Canadá,Inglés,PC,2017-12-23,positivo
Masculino,40.0,Nacional,Excelente,5,2,"""Universidad de Guanajuato""","""Colonial muy hermosa de visita con toda la familia fue una experiencia inolvidable pasar previo en el callejón del beso y la Alhóndiga de Granaditas.""",México,Español,Móvil,2017-12-23,positivo
Masculino,42.0,Internacional,Excelente,5,107,"""Espectacular construcción de la ciudad""","""La universidad es una construcción incrustada en las ladera de la montaña, que hacen que sea uno de los edificios mas espectaculares de la ciudad.""",Perú,Español,PC,2017-12-22,positivo
Masculino,36.0,Internacional,Muy bueno,4,956,"""Love the architecture and as a visitor you are allowed to wander the hallways""","""Hay 2 entradas al edificio; puedes subir las escaleras exteriores o puedes entrar por otras 2 entradas en la planta baja (del mismo lado o a la vuelta de la esquina). La arquitectura exterior es preciosa; el interior no es nada lujoso ni especial, pero siempre es agradable caminar por un edificio universitario por la energía y el ambiente en general"".",Estados Unidos,Inglés,PC,2017-12-16,positivo
